DRAQ5+2 & R3 & R2 & R1
Object Number	Diameter_Morphology(M07, Ch07)
0	11.3179613497908
1	15.3468969825244
6	10.7008475697937
12	14.821418674391
16	10.5610482226537
20	16.1644065660323
23	11.8195922131403
30	11.7354659324245
34	14.7783817169292
70	10.1091005365899
92	12.2604433581164
93	10.9492815173708
136	16.5152356260774
149	13.2588151184014
151	10.0880763879332
195	15.2218786928966
198	10.4329490578589
207	21.2623553856659
209	10.5342094290179
218	11.0072999003823
231	10.2826302119853
240	15.6618549777687
287	12.277748156225
288	14.3260980109022
295	12.6971362213547
302	15.48919217745
303	10.9298736175919
311	13.0544073518973
312	10.9428160420404
322	16.9717303769732
331	10.2963862451754
337	12.6300734132155
342	14.0063679784962
344	10.7470432412303
345	10.7864820645606
351	13.9557484851951
358	12.4721912892465
361	12.0096681977227
370	10.9428160420404
372	14.0568051888068
374	7.5525992301278
375	11.0137275213099
378	18.7016657031071
379	15.7654427825166
381	9.25383186062626
383	12.8522553309252
384	14.2120230591506
389	12.674821377709
395	12.769390151482
402	12.4153182556282
405	10.4803256514668
415	11.5653777190129
416	11.3865367912759
425	11.0137275213099
427	14.1721295823956
431	12.5682848248872
438	13.4916293411448
448	14.3950923460673
453	13.4074373842135
454	11.8494925700823
458	12.7970714979746
459	13.097705670952
463	16.0281069473043
464	11.6931758275578
467	12.0508476853832
473	12.5851663433423
475	11.9742587795312
490	14.7544180531716
496	9.70185410665739
497	12.460837448669
503	12.7970714979746
512	15.4250923782047
517	10.0529384323821
535	12.2950285984943
537	12.9126851613062
548	11.0137275213099
550	14.5077278867489
552	11.4547017020437
555	14.4147443584204
566	12.0449735209175
586	13.9709535906512
589	9.71643240805332
591	10.5744420748625
600	11.7776041862516
604	11.7535436827028
608	13.0055244399814
618	11.1732163825467
627	8.13892119488575
628	11.1922023204245
630	11.3179613497908
635	11.75956342378
643	12.3639088494787
649	13.0218391331278
670	14.9592510910789
674	22.856826911172
712	12.1035868768983
717	11.33670488129
728	16.8713545510675
731	9.51030282759763
737	12.669236525542
738	13.0598274921981
749	15.2404646322895
753	10.9944333852888
761	16.089804590114
779	13.3810187627137
803	15.6301919894716
807	12.6580594289458
818	10.9104311943399
835	13.4811341008624
840	11.2615435782596
846	19.5888380482167
852	13.2694861986949
856	10.69423189833
858	11.14150125646
861	13.2427923752448
904	11.8375414903193
906	14.251804867014
910	11.2552574803217
924	13.5282985624857
933	14.7544180531716
983	11.8614316084459
996	11.5653777190129
999	13.2588151184014
1005	10.8126946963232
1007	12.2719826014782
1008	14.2617329802815
1013	11.0329879164153
1016	12.6132519983193
1019	12.7472017938823
1024	9.77452818676612
1028	15.0017691808754
1042	9.52517430318288
1043	12.4380986752535
1047	12.0743157654218
1066	13.0760744329512
1070	13.5282985624857
1072	10.8714420361888
1074	11.7776041862516
1095	11.9268826935441
1101	12.426713685522
1127	11.2237741809441
1140	10.473570687406
1141	7.47725969839959
1165	11.33670488129
1181	10.3853563408755
1194	10.5140353739325
1195	11.8793176677765
1207	12.0918869351818
1210	12.6468724542204
1213	11.2489678696152
1224	10.0176772278685
1231	14.5028488794185
1233	13.4653759024889
1236	14.5612890713588
1237	11.5653777190129
1239	14.9071198499986
1244	15.2497491074926
1265	12.9946365984412
1270	13.2320997676272
1275	9.99646080328678
1277	11.2803808541709
1287	10.7995963333122
1295	12.3467248121966
1310	13.4338040515379
1315	9.77452818676612
1317	12.6132519983193
1318	11.4051676247737
1322	14.0164699401257
1355	12.0096681977227
1357	14.1771224060778
1360	15.5439244758331
1370	10.3169859048049
1377	13.5805114102074
1386	9.68725386647117
1389	12.4324074836148
1398	11.6628747249841
1402	13.7204936578
1410	18.5000143455502
1412	12.5457407980829
1413	11.21746691763
1415	14.306324229206
1416	17.2734552886192
1418	11.6264091597733
1436	10.3921686448819
1458	9.87537344649376
1460	13.7514073139422
1463	12.8577606879269
1466	14.3211571250815
1468	12.8191735377552
1479	13.1516281125155
1483	16.8881252853783
1496	9.54002259637888
1499	18.1991810552784
1500	9.81066334950882
1511	12.2892711509304
1513	11.9328149906996
1515	12.4324074836148
1521	13.960818693713
1532	13.3545478787036
1536	14.5126052538011
1540	10.9104311943399
1548	10.1091005365899
1549	13.199969975732
1556	13.3439448219476
1564	13.2534763563092
1571	9.92541185163762
1581	9.86820439041531
1588	11.0137275213099
1611	13.9557484851951
1613	12.2315476230144
1616	11.3117066041626
1621	10.779918947394
1634	12.9673769993024
1635	13.8232703275227
1680	13.9709535906512
1695	12.5118485953303
1703	15.3699369249104
1716	15.282200350682
1726	12.6804037701302
1735	12.3639088494787
1736	12.0096681977227
1739	10.6478071065522
1741	11.4485216629092
1742	11.3179613497908
1743	14.4979682301538
1746	13.9861421658096
1755	14.8261928470625
1774	10.5140353739325
1786	10.5945011040977
1788	16.2865354971414
1792	11.1541981281087
1796	14.5758625086058
1797	11.9505942133591
1798	13.1139056841581
1809	11.4485216629092
1824	16.0457590528162
1828	13.39159246548
1829	10.473570687406
1831	10.8061474994187
1836	14.1070620712849
1839	18.1563548130973
1843	14.6919296033785
1847	11.9031239394856
1848	10.5677472707252
1886	12.7804698847174
1887	12.0155596222604
1888	12.460837448669
1889	12.8246930960466
1902	14.7159950242632
1906	11.5408747725912
1909	12.9236420450437
1912	10.6345056558798
1918	10.3101239247276
1921	12.8191735377552
1931	9.21551355168183
1938	10.7338647651007
1942	9.70914599352419
1956	16.2865354971414
1959	14.6581716374763
1979	12.340991482511
1985	12.7860061509007
1989	18.1173340183389
2005	10.3375445155051
2007	17.9130557265798
2022	14.9071198499986
2034	13.2748185220761
2035	10.6211875471407
2057	11.7715936708378
2062	12.2835110047733
2070	11.2363780862977
2077	13.6998458001147
2078	10.3580623216968
2085	11.4485216629092
2095	16.1950251419658
2099	11.5163196920641
2101	12.4665156615172
2131	14.2666944460709
2132	12.1502739812829
2134	7.19754617303364
2146	11.9446707462227
2152	14.316214534037
2153	14.7400211545863
2156	14.8928705685679
2162	11.8315614235117
2171	14.7735920938195
2173	12.0625874326245
2176	12.8191735377552
2188	10.3375445155051
2223	11.9683470246512
2228	12.4324074836148
2238	11.1985238133434
2255	14.2319278631054
2263	14.5077278867489
2266	8.71828495571246
2267	12.9619182000712
2269	17.6142514519039
2273	13.3014480744604
2303	12.6636492103748
2313	11.644656216504
2323	11.0394005806686
2327	13.9100334446652
2330	13.5596503972619
2362	15.6030011448929
2365	11.656805052585
2367	14.7063735815712
2368	16.1161741318548
2371	13.6688155319585
2383	13.2748185220761
2386	14.7208033874121
2390	11.6750046031715
2397	18.1212398789035
2401	16.2124955085795
2405	12.5288061571155
2409	13.5178317922051
2418	16.4594335008143
2427	13.6946789714188
2432	12.4437872640143
2440	15.5393708139584
2451	10.9428160420404
2456	15.1566484259361
2458	12.9619182000712
2471	12.702708807193
2478	9.83228070223291
2487	12.121115614362
2493	10.3580623216968
2509	15.9838913956272
2522	11.6689412402057
2528	13.3545478787036
2538	12.121115614362
2571	14.0114198697258
2588	9.99646080328678
2594	15.3192033112693
2596	12.426713685522
2602	12.6971362213547
2615	12.6076398725695
2645	10.7008475697937
2666	14.9592510910789
2671	13.39159246548
2675	12.8302102798234
2685	15.9173377766721
2687	10.9428160420404
2694	10.2550627891605
2699	9.96099967413606
2716	11.6203204402356
2718	10.6011790127999
2725	9.48048989271141
2726	12.4551566471662
2737	16.5023749604337
2744	14.4098338679497
2752	11.5714953484907
2755	14.541835102657
2756	11.286652959662
2763	11.4855520183539
2780	10.13706490685
2782	10.9428160420404
2791	12.6804037701302
2792	16.9550423391352
2801	10.6876121317419
2802	11.7655800849175
2816	11.4299614966978
2817	11.286652959662
2820	12.6132519983193
2824	9.0136328296075
2828	11.2803808541709
2849	11.0969478024719
2850	15.0911362088347
2853	18.4271869059882
2860	11.147851499926
2863	11.5592568518369
2864	11.0969478024719
2874	17.1542273484866
2879	12.0801756617947
2900	10.8779499338302
2902	14.7927412814993
2905	11.4113711431137
2909	11.1351473915255
2926	10.6809882624153
2933	11.8673966234614
2956	13.2961264306889
2957	11.8852737060889
2970	14.8833634686086
2971	11.5592568518369
2978	13.6221375964417
2984	13.7719778674216
2991	12.4096166166338
2992	12.068453023748
2993	13.874373164752
3006	12.9291170048509
3018	13.2374471510613
3026	9.69455673510464
3033	11.4732218462343
3036	11.5531327418166
3041	10.116098876325
3050	12.179362540944
3051	12.4665156615172
3060	10.9944333852888
3068	13.3174002465823
3073	11.1160640057932
3077	14.3606366131481
3081	9.91827896401016
3093	13.4179902684795
3096	19.7650746038983
3106	11.2048417398337
3111	12.7915400209503
3112	13.5387572409419
3118	12.8742626335687
3122	9.38294367395843
3129	13.7976479323202
3137	10.5476373623581
3145	11.4113711431137
3146	14.9260977314578
3153	12.8522553309252
3173	11.2237741809441
3182	13.9912013601027
3195	10.7074591537237
3197	10.6809882624153
3207	13.6169412820827
3210	11.0265715227836
3216	14.1671349991277
3232	15.0582732196188
3239	13.689510192608
3260	14.7448216826909
3263	17.1748429398081
3265	13.4338040515379
3266	12.3007833512543
3283	12.3581834919827
3286	15.4571755050224
3287	12.021448159552
3297	15.1799771274841
3299	13.1193012431949
3307	12.1619177539418
3312	11.644656216504
3316	10.7008475697937
3325	14.142135623731
3329	12.2719826014782
3330	18.3347808731758
3332	10.2619615876462
3348	9.86820439041531
3350	14.9213555239572
3354	12.4665156615172
3375	12.4835348034505
3396	10.2550627891605
3403	15.890638281594
3411	14.7544180531716
3414	11.5224633679836
3420	10.1719122592166
3424	10.7470432412303
3429	9.5474380833877
3432	12.3467248121966
3450	10.5811326431211
3454	10.081058594814
3458	13.2641517316657
3461	10.7206700892279
3463	12.8742626335687
3466	10.7404560244048
3480	11.0969478024719
3487	12.068453023748
3489	11.1795486110984
3492	9.51774146997666
3507	13.9151203102383
3527	11.9505942133591
3529	12.6580594289458
3532	10.955743177135
3542	10.3032573745655
3557	12.1444479085522
3562	13.6065426999765
3566	13.9709535906512
3567	9.53260134080502
3569	11.7233986120789
3573	11.052214747003
3576	13.322713392713
3577	10.7667807110102
3578	12.7138466513382
3602	12.6076398725695
3604	13.4548601836632
3607	12.769390151482
3610	13.6013404276778
3613	11.5898288619914
3617	12.6971362213547
3619	12.6356755751291
3624	10.1649523458056
3629	14.1871027821158
3639	11.6264091597733
3656	13.4338040515379
3663	17.1872004252346
3664	12.0155596222604
3667	13.4706306835289
3680	11.614228528708
3700	16.6984834312294
3707	11.1605411471759
3719	11.9624323482214
3721	10.6345056558798
3725	10.6078527175924
3730	10.2895105273835
3732	10.9622010280802
3743	10.7272694558666
3758	11.7233986120789
3759	11.1668805632776
3768	13.6843394614726
3776	11.8136030603802
3792	11.5470053837925
3803	10.69423189833
3804	12.3180314784709
3805	14.5612890713588
3807	10.5274890395434
3814	12.1094326086455
3818	16.3688897612815
3829	11.0329879164153
3830	12.752752502525
3832	12.4210172773907
3835	10.5005644710605
3841	11.9860735419312
3844	12.0096681977227
3845	10.0670083321049
3847	11.4237680735952
3853	9.60655591196648
3857	14.1671349991277
3865	12.5851663433423
3870	14.350776923271
3872	11.0841853510929
3876	14.8690914210857
3878	11.1795486110984
3885	9.85385063097711
3886	9.82508020276678
3888	10.3443883060697
3904	13.6636369693434
3931	13.3810187627137
3932	14.7159950242632
3941	11.7776041862516
3951	11.1351473915255
3955	14.1271147638113
3957	8.95059965886988
3961	10.0317965826246
3972	11.4485216629092
3980	13.0327042490215
3983	11.4608784087218
3984	12.0332165893496
3996	11.2552574803217
4014	12.0037738816878
4023	10.9233966548794
4030	12.3065354129908
4031	10.8844539403508
4032	13.1354746225556
4033	13.0544073518973
4037	10.081058594814
4041	11.7113188575962
4043	13.0055244399814
4047	12.3352554880191
4080	11.7715936708378
4082	11.650732218074
4085	13.6998458001147
4091	11.656805052585
4092	13.848845317617
4109	10.2412512505172
4111	10.7733518319826
4124	14.2219789434253
4136	11.5224633679836
4156	14.2567697878638
4164	12.9837396266309
4167	12.8742626335687
4191	10.8192379312314
4194	12.5457407980829
4214	11.2048417398337
4216	13.3067675899997
4226	14.478429180534
4227	12.3467248121966
4229	11.7655800849175
4230	14.3310371932627
4237	13.1193012431949
4238	13.0652453839442
4249	13.7925177414263
4259	11.0394005806686
4263	12.0037738816878
4274	14.6629989623684
4302	15.7384856078529
4304	13.5230661899974
4310	10.1020973486786
4323	10.5811326431211
4341	12.1502739812829
4344	10.0740359129483
4346	11.5959335918653
4347	13.6532739515694
4358	8.52953737226439
4373	12.7082789494503
4377	12.5457407980829
4389	14.1471390329176
4392	15.0488706128827
4398	13.4968739008535
4401	14.0063679784962
4406	11.5470053837925
4407	11.3740992815113
4411	12.1851719200204
4423	11.7715936708378
4433	14.6436801147665
4441	10.2826302119853
4450	11.9742587795312
4451	13.1570082019664
4464	11.2489678696152
4465	12.6804037701302
4476	9.16159867623097
4482	19.3123101158279
4497	14.142135623731
4508	13.3333333333333
4512	10.9039426827971
4523	14.0063679784962
4535	14.0416930484169
4551	10.6809882624153
4553	11.4361515656578
4562	15.7294896164875
4565	11.3740992815113
4568	12.7749312192852
4595	13.1731352865108
4596	13.2801487043917
4597	11.4299614966978
4603	10.5677472707252
4616	13.4601190700018
4629	9.83947593239619
